,Classes
0,ham
1,ham
2,ham
3,ham
4,ham
5,ham
6,ham
7,ham
8,ham
9,ham
10,ham
11,ham
12,ham
13,spam
14,ham
15,ham
16,spam
17,ham
18,ham
19,ham
20,ham
21,ham
22,ham
23,ham
24,ham
25,ham
26,ham
27,ham
28,ham
29,ham
30,ham
31,ham
32,ham
33,ham
34,ham
35,ham
36,ham
37,ham
38,ham
39,ham
40,ham
41,ham
42,ham
43,ham
44,ham
45,ham
46,ham
47,ham
48,ham
49,spam
50,ham
51,ham
52,spam
53,ham
54,ham
55,spam
56,ham
57,ham
58,ham
59,ham
60,ham
61,ham
62,ham
63,ham
64,spam
65,ham
66,ham
67,ham
68,ham
69,spam
70,ham
71,ham
72,ham
73,ham
74,ham
75,ham
76,spam
77,ham
78,ham
79,ham
80,ham
81,ham
82,ham
83,spam
84,ham
85,ham
86,ham
87,ham
88,ham
89,ham
90,ham
91,ham
92,ham
93,ham
94,ham
95,ham
96,ham
97,ham
98,ham
99,ham
100,ham
101,spam
102,ham
103,ham
104,ham
105,ham
106,ham
107,ham
108,ham
109,ham
110,ham
111,ham
112,ham
113,spam
114,ham
115,ham
116,spam
117,ham
118,spam
119,spam
120,ham
121,ham
122,ham
123,ham
124,ham
125,ham
126,ham
127,spam
128,ham
129,spam
130,ham
131,ham
132,ham
133,ham
134,spam
135,ham
136,spam
137,ham
138,ham
139,ham
140,ham
141,spam
142,ham
143,ham
144,ham
145,ham
146,ham
147,spam
148,ham
149,ham
150,ham
151,ham
152,ham
153,ham
154,ham
155,ham
156,spam
157,ham
158,ham
159,ham
160,ham
161,ham
162,ham
163,ham
164,ham
165,ham
166,ham
167,ham
168,ham
169,ham
170,ham
171,spam
172,ham
173,ham
174,ham
175,ham
176,ham
177,ham
178,ham
179,spam
180,ham
181,ham
182,spam
183,ham
184,ham
185,ham
186,ham
187,ham
188,ham
189,ham
190,ham
191,ham
192,ham
193,spam
194,ham
195,ham
196,ham
197,ham
198,ham
199,ham
200,ham
201,ham
202,ham
203,ham
204,ham
205,ham
206,ham
207,spam
208,ham
209,ham
210,ham
211,ham
212,ham
213,ham
214,ham
215,ham
216,ham
217,ham
218,ham
219,ham
220,ham
221,ham
222,ham
223,ham
224,ham
225,ham
226,ham
227,ham
228,ham
229,ham
230,spam
231,ham
232,ham
233,ham
234,ham
235,ham
236,ham
237,ham
238,ham
239,ham
240,ham
241,ham
242,ham
243,ham
244,spam
245,ham
246,ham
247,ham
248,ham
249,ham
250,ham
251,spam
252,ham
253,ham
254,ham
255,ham
256,ham
257,ham
258,ham
259,spam
260,ham
261,ham
262,ham
263,ham
264,ham
265,ham
266,ham
267,ham
268,ham
269,ham
270,ham
271,ham
272,spam
273,spam
274,ham
275,spam
276,spam
