"Gender";"Age";"Marital_Status";"Website_Activity";"Browsed_Electronics_12Mo";"Bought_Electronics_12Mo";"Bought_Digital_Media_18Mo";"Bought_Digital_Books";"Payment_Method";"User_ID";"confidence(Late Majority)";"confidence(Innovator)";"confidence(Early Adopter)";"confidence(Early Majority)";"prediction(eReader_Adoption)"
"M";57.0;"S";"Regular";"Yes";"Yes";"Yes";"Yes";"Bank Transfer";56031.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";51.0;"M";"Regular";"Yes";"Yes";"No";"No";"Bank Transfer";25913.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";41.0;"M";"Seldom";"Yes";"Yes";"Yes";"No";"Website Account";19396.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";66.0;"S";"Regular";"Yes";"Yes";"Yes";"Yes";"Credit Card";93666.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";31.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Website Account";72282.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";68.0;"M";"Regular";"Yes";"Yes";"Yes";"No";"Bank Transfer";64466.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";51.0;"S";"Seldom";"Yes";"No";"No";"No";"Website Account";76655.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";36.0;"S";"Frequent";"Yes";"No";"Yes";"No";"Website Account";48465.0;0.125;0.875;0.0;0.0;"Innovator"
"M";29.0;"M";"Regular";"Yes";"Yes";"Yes";"No";"Website Account";19889.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";61.0;"M";"Frequent";"Yes";"No";"Yes";"No";"Website Account";63570.0;0.0;0.0;0.0;1.0;"Early Majority"
"M";47.0;"S";"Regular";"Yes";"No";"Yes";"No";"Website Account";63239.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";62.0;"S";"Regular";"Yes";"Yes";"Yes";"No";"Website Account";67603.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";32.0;"M";"Regular";"Yes";"No";"Yes";"No";"Bank Transfer";65685.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";17.0;"M";"Seldom";"Yes";"No";"Yes";"No";"Credit Card";77373.0;0.0;0.0;0.0;1.0;"Early Majority"
"M";36.0;"S";"Regular";"Yes";"No";"Yes";"Yes";"Website Account";54239.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";58.0;"S";"Regular";"No";"Yes";"Yes";"Yes";"Bank Transfer";55781.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";62.0;"M";"Regular";"Yes";"Yes";"Yes";"No";"Monthly Billing";19854.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";37.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Bank Transfer";27852.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";28.0;"M";"Seldom";"Yes";"No";"Yes";"No";"Monthly Billing";85169.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";43.0;"M";"Seldom";"Yes";"Yes";"Yes";"Yes";"Bank Transfer";62492.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";29.0;"M";"Seldom";"Yes";"Yes";"Yes";"No";"Bank Transfer";90254.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";36.0;"S";"Regular";"Yes";"Yes";"No";"No";"Website Account";81277.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";37.0;"M";"Seldom";"Yes";"No";"Yes";"Yes";"Website Account";15575.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";56.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Monthly Billing";88000.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";63.0;"M";"Seldom";"Yes";"Yes";"Yes";"Yes";"Website Account";57301.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";64.0;"M";"Seldom";"Yes";"No";"No";"No";"Bank Transfer";81776.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";42.0;"S";"Regular";"Yes";"Yes";"Yes";"Yes";"Bank Transfer";34642.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";54.0;"S";"Regular";"Yes";"No";"Yes";"Yes";"Website Account";30573.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";37.0;"M";"Seldom";"Yes";"No";"Yes";"Yes";"Bank Transfer";92903.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";29.0;"M";"Regular";"Yes";"No";"Yes";"No";"Bank Transfer";97263.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";65.0;"S";"Regular";"Yes";"Yes";"Yes";"Yes";"Credit Card";36740.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";48.0;"M";"Regular";"Yes";"No";"Yes";"No";"Credit Card";50414.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";32.0;"M";"Seldom";"Yes";"No";"Yes";"Yes";"Bank Transfer";59901.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";67.0;"M";"Seldom";"Yes";"No";"Yes";"No";"Credit Card";27135.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";66.0;"M";"Seldom";"Yes";"No";"Yes";"No";"Credit Card";75778.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";59.0;"S";"Seldom";"Yes";"No";"Yes";"Yes";"Bank Transfer";25250.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";47.0;"S";"Seldom";"Yes";"Yes";"No";"Yes";"Credit Card";76172.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";47.0;"M";"Seldom";"Yes";"Yes";"Yes";"Yes";"Website Account";68362.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";65.0;"M";"Seldom";"Yes";"No";"No";"No";"Bank Transfer";59361.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";43.0;"M";"Seldom";"Yes";"No";"Yes";"No";"Bank Transfer";75104.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";50.0;"S";"Seldom";"Yes";"Yes";"No";"Yes";"Monthly Billing";97899.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";37.0;"M";"Seldom";"Yes";"No";"Yes";"Yes";"Website Account";53506.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"F";25.0;"S";"Seldom";"Yes";"No";"No";"No";"Credit Card";56204.0;0.5;0.0;0.0;0.5;"Late Majority"
"M";51.0;"M";"Seldom";"Yes";"No";"No";"Yes";"Credit Card";67586.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";26.0;"M";"Regular";"Yes";"No";"Yes";"No";"Website Account";92932.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";50.0;"S";"Frequent";"Yes";"No";"No";"No";"Website Account";70473.0;0.1111111111111111;0.0;0.8888888888888888;0.0;"Early Adopter"
"F";32.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Website Account";65341.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";32.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Website Account";20555.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";36.0;"S";"Frequent";"Yes";"No";"Yes";"No";"Website Account";83754.0;0.125;0.875;0.0;0.0;"Innovator"
"M";47.0;"S";"Regular";"Yes";"No";"No";"Yes";"Credit Card";69809.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";48.0;"S";"Regular";"Yes";"No";"No";"Yes";"Credit Card";15065.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";49.0;"S";"Seldom";"Yes";"No";"Yes";"Yes";"Monthly Billing";19303.0;0.07035175879396985;0.06030150753768844;0.507537688442211;0.36180904522613067;"Early Adopter"
"M";35.0;"S";"Regular";"Yes";"No";"Yes";"Yes";"Website Account";97649.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";57.0;"S";"Regular";"No";"Yes";"Yes";"Yes";"Bank Transfer";68265.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"F";32.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Website Account";22144.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";28.0;"M";"Regular";"No";"No";"Yes";"No";"Monthly Billing";35417.0;0.04918032786885246;0.31693989071038253;0.4098360655737705;0.22404371584699453;"Early Adopter"
"M";55.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Website Account";92068.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";67.0;"M";"Frequent";"No";"Yes";"No";"Yes";"Website Account";16994.0;0.3333333333333333;0.6666666666666666;0.0;0.0;"Innovator"
"F";55.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Website Account";63405.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"F";55.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Website Account";14799.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";64.0;"M";"Seldom";"Yes";"Yes";"Yes";"No";"Monthly Billing";74414.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
"M";62.0;"S";"Seldom";"Yes";"No";"Yes";"No";"Website Account";52869.0;0.7513227513227513;0.021164021164021163;0.05291005291005291;0.1746031746031746;"Late Majority"
